real, image
-0.268182, 0.045455
-0.268182, 0.090909
-0.268182, 0.136364
-0.268182, 0.181818
-0.268182, 0.227273
-0.268182, 0.272727
-0.268182, 0.318182
-0.268182, 0.363636
-0.268182, 0.409091
-0.268182, 0.454545
-0.268182, 0.500000
-0.268182, 0.545455
-0.268182, 0.590909
-0.254545, -0.636364
-0.254545, -0.590909
-0.254545, -0.545455
-0.254545, -0.500000
-0.254545, -0.454545
-0.254545, -0.409091
-0.254545, -0.363636
-0.254545, -0.318182
-0.254545, -0.272727
-0.254545, -0.227273
-0.254545, -0.181818
-0.254545, -0.136364
-0.254545, -0.090909
-0.254545, -0.045455
-0.254545, -0.000000
-0.254545, 0.045455
-0.254545, 0.090909
-0.254545, 0.136364
-0.254545, 0.181818
-0.254545, 0.227273
-0.254545, 0.272727
-0.254545, 0.318182
-0.254545, 0.363636
-0.254545, 0.409091
-0.254545, 0.454545
-0.254545, 0.500000
